Atom_Index, Neighbour_Index, distance
0,1,1.0
0,2,1.0
0,3,1.0
0,6,1.0
0,9,1.0
0,18,1.0
1,0,1.0
1,2,1.0
1,4,1.0
1,7,1.0
1,10,1.0
1,19,1.0
2,0,1.0
2,1,1.0
2,5,1.0
2,8,1.0
2,11,1.0
2,20,1.0
3,0,1.0
3,4,1.0
3,5,1.0
3,6,1.0
3,12,1.0
3,21,1.0
4,1,1.0
4,3,1.0
4,5,1.0
4,7,1.0
4,13,1.0
4,22,1.0
5,2,1.0
5,3,1.0
5,4,1.0
5,8,1.0
5,14,1.0
5,23,1.0
6,0,1.0
6,3,1.0
6,7,1.0
6,8,1.0
6,15,1.0
6,24,1.0
7,1,1.0
7,4,1.0
7,6,1.0
7,8,1.0
7,16,1.0
7,25,1.0
8,2,1.0
8,5,1.0
8,6,1.0
8,7,1.0
8,17,1.0
8,26,1.0
9,0,1.0
9,10,1.0
9,11,1.0
9,12,1.0
9,15,1.0
9,18,1.0
10,1,1.0
10,9,1.0
10,11,1.0
10,13,1.0
10,16,1.0
10,19,1.0
11,2,1.0
11,9,1.0
11,10,1.0
11,14,1.0
11,17,1.0
11,20,1.0
12,3,1.0
12,9,1.0
12,13,1.0
12,14,1.0
12,15,1.0
12,21,1.0
13,4,1.0
13,10,1.0
13,12,1.0
13,14,1.0
13,16,1.0
13,22,1.0
14,5,1.0
14,11,1.0
14,12,1.0
14,13,1.0
14,17,1.0
14,23,1.0
15,6,1.0
15,9,1.0
15,12,1.0
15,16,1.0
15,17,1.0
15,24,1.0
16,7,1.0
16,10,1.0
16,13,1.0
16,15,1.0
16,17,1.0
16,25,1.0
17,8,1.0
17,11,1.0
17,14,1.0
17,15,1.0
17,16,1.0
17,26,1.0
18,0,1.0
18,9,1.0
18,19,1.0
18,20,1.0
18,21,1.0
18,24,1.0
19,1,1.0
19,10,1.0
19,18,1.0
19,20,1.0
19,22,1.0
19,25,1.0
20,2,1.0
20,11,1.0
20,18,1.0
20,19,1.0
20,23,1.0
20,26,1.0
21,3,1.0
21,12,1.0
21,18,1.0
21,22,1.0
21,23,1.0
21,24,1.0
22,4,1.0
22,13,1.0
22,19,1.0
22,21,1.0
22,23,1.0
22,25,1.0
23,5,1.0
23,14,1.0
23,20,1.0
23,21,1.0
23,22,1.0
23,26,1.0
24,6,1.0
24,15,1.0
24,18,1.0
24,21,1.0
24,25,1.0
24,26,1.0
25,7,1.0
25,16,1.0
25,19,1.0
25,22,1.0
25,24,1.0
25,26,1.0
26,8,1.0
26,17,1.0
26,20,1.0
26,23,1.0
26,24,1.0
26,25,1.0
